id,number_of_bedrooms,number_of_bathrooms,living area,lot area,Price
6762813551,4,2.5,2120,10202,755000
6762813766,4,1.75,2010,3600,740000
6762813838,4,2.5,3180,21904,736500
6762814206,4,2.5,2450,4247,712198
6762814291,3,2.5,2490,4343,705380
6762814896,3,2.5,1680,2000,670000
6762814966,4,2.5,2800,5900,665000
6762815131,4,1,1390,4240,657100
6762815226,3,1.5,2160,9000,650000
6762815643,4,2.5,2440,6651,631625
6762815727,4,2.25,1990,7712,627000
6762815880,3,1.75,1480,2185,620000
6762815955,3,2,1800,5000,618500
6762815987,4,1.75,2300,11700,615000
6762816274,3,1.75,1670,39639,600000
6762816275,3,1.75,1880,6360,600000
6762816667,2,1,1770,8640,585000
6762816779,2,1,2540,7000,580000
6762817053,3,2.25,2010,6000,570000
6762817314,3,2.5,1900,8744,560000
6762817450,3,2.5,1940,3211,555000
6762817755,2,1,1140,5400,549000
6762817756,4,2.5,2910,6338,549000
6762817929,5,2.75,2740,8426,541125
6762818230,2,3,1270,1175,531000
6762818400,5,1.75,2550,71874,525888
6762818543,3,1.75,1560,5520,524000
6762818924,3,2.5,1790,2700,509900
6762819061,4,1,2070,7519,501000
6762819262,4,2.5,2910,6479,499000
6762819312,6,2.75,3200,9200,497300
6762819594,4,1.75,2010,9211,487585
6762819620,4,3,2340,7048,485000
6762819874,3,2.5,3040,4535,478000
6762820970,4,2,1480,3844,449250
6762821445,5,2,1840,9240,435000
6762822174,2,2.5,1590,1426,419190
6762822204,3,2,1410,6030,418000
6762822246,3,2.5,1408,989,416286
6762822266,3,2.25,1620,998,415000
6762822453,3,2.25,1800,36704,410000
6762822604,3,2.25,1410,1332,406100
6762822620,2,3,1410,1240,405000
6762822792,2,1.75,2110,9519,400000
6762822793,2,1,840,5510,400000
6762823019,3,2.5,2230,4000,398750
6762823544,5,2.5,3090,12750,384900
6762823717,4,1.75,1970,9389,379950
6762824223,3,3,1571,10800,366750
6762825311,5,1,1120,9022,340000
6762825312,2,1.5,1160,1438,340000
6762825869,2,1,1140,5250,329950
6762825928,4,2.5,2370,6500,328000
6762826775,4,2.75,2310,5000,309950
6762826776,3,2.5,1880,7838,309950
6762827057,3,2,1050,10072,300000
6762827694,3,1,1450,6000,287000
6762829320,3,2,1550,15040,249950
6762829453,3,1.75,1920,9306,245000
6762829917,2,1,1200,8063,232000
6762830263,4,1.5,1240,9600,220000
6762830332,4,1.5,1120,5427,219900
6762830530,3,1,1340,306848,210000
6762830531,5,2,2050,10200,210000
6762830664,2,1,810,7158,206000
6762831089,3,1.75,1490,10125,184000
6762810285,5,4,4510,15175,1870000
6762810310,5,5,4490,10279,1800000
6762810471,4,3.25,3760,10920,1580000
6762810939,4,2.25,3490,6906,1230000
6762811141,4,2.75,3370,8103,1140000
6762811335,3,2.5,2200,1970,1050000
6762811613,3,2.5,2690,4047,979000
6762811999,3,3.5,3020,4082,910000
6762812370,4,2,3740,32417,860000
6762813278,4,2.5,3040,6425,776000
6762813464,4,2.5,3880,14550,762300
6762813840,4,2.5,2290,12047,736000
6762813978,4,2.5,3200,12369,725126
6762814626,4,2.5,3030,7864,685000
6762814788,2,1,930,36478,675000
6762815143,4,3.5,3380,8330,655500
6762815227,3,1.5,1630,7475,650000
6762815228,5,3.5,3480,36615,650000
6762816060,4,2,2060,5000,612500
6762816083,4,3,2450,10117,610000
6762816134,4,2.5,2150,37981,609000
6762816173,4,2.5,2110,13850,606000
6762816405,4,2.25,2260,29930,599000
6762816780,4,3.25,3569,8327,580000
6762816917,3,1.75,2130,6500,575000
6762817272,4,3,3100,15480,563000
6762817288,5,2.25,3040,8111,562000
6762817305,3,2,2000,5500,561000
6762818108,3,2.5,1850,10109,535000
6762818202,5,2.75,1800,3780,533000
6762818237,5,2.5,2910,5133,530000
6762818403,3,2.5,2970,11985,525000
6762818591,3,2.5,2460,54885,520000
6762818667,3,1.5,1430,8000,518000
6762818718,3,2.5,1790,7167,515000
6762818810,4,2.5,2000,5684,513000
6762819071,3,2.5,1480,1171,500000
6762819263,2,1.75,1170,2400,499000
6762819584,5,2,2020,5000,488000
6762819621,3,2,1420,4080,485000
6762819707,2,1.75,1660,6000,484000
6762819714,4,2.5,2740,45732,483500
6762819923,6,3,3470,117612,475000
6762820190,2,1,1030,4400,469000
6762820263,3,2.25,1970,11088,465000
6762820431,2,2.25,1230,929,460000
6762820605,5,2.5,2240,7770,455000
6762820766,2,2,1100,3000,450000
6762821835,4,2,1520,7983,425000
6762822588,4,2.25,2810,23400,407000
6762822705,4,1.75,1840,10720,404000
6762823058,4,2,1440,7680,397000
6762823244,3,1.75,1260,6500,390000
6762823245,5,3.75,2890,5000,390000
6762823419,3,1,1230,9568,387000
6762823456,3,1.75,1900,5520,385000
6762823727,4,1.75,1500,11600,379900
6762824138,3,2,1270,1320,369950
6762824202,3,1.5,1410,9647,367500
6762824247,3,1.5,1310,8160,365000
6762824373,3,2.25,1640,14374,362000
6762824403,4,2,2680,18768,360000
6762824756,3,1,1350,7740,353000
6762825130,4,2.5,2331,3826,345000
6762825131,3,1,1110,6250,345000
6762825904,2,1,720,6687,329350
6762825992,4,2.5,1890,12040,325000
6762826596,3,1,1510,6083,313950
6762826630,4,2,1300,7054,312000
6762827348,3,2.25,1980,8000,295000
6762827837,4,2.5,2000,5390,284000
6762827916,3,1.75,1630,11800,280000
6762828037,3,1.75,1580,8151,279900
6762828331,3,2.5,1650,13816,272000
6762829190,3,1,1050,6874,250000
6762829881,3,1.75,1490,8366,234000
6762830340,2,1,900,5160,219000
6762830360,3,1.75,1850,7684,218000
6762830890,3,1.75,1690,7735,197000
6762830971,3,1.5,800,8850,191000
6762831182,3,1,1010,7034,175000
6762831495,3,1.5,1420,8580,136500
6762831616,2,1,780,16344,78000
6762810052,7,4.5,6210,8856,3200000
6762810519,5,4.5,4270,8076,1530000
6762810536,6,2.5,3560,6480,1500000
6762810736,3,3,2960,5500,1340000
6762811104,4,4,4460,103382,1150000
6762811190,4,1.5,2310,13300,1110000
6762811389,4,3.5,3900,8391,1040000
6762811814,4,2.25,1890,5940,940000
6762812054,5,3.75,4130,226076,900000
6762813091,4,2,2210,8556,794154
6762813283,3,2,2540,7200,775000
6762813540,4,2.75,2410,9549,758000
6762813601,3,2.75,2520,23790,750000
6762813688,4,2.75,2600,6050,749950
6762814292,4,2.5,2650,4316,705000
6762814540,3,2,1760,6428,690000
6762814789,3,1.75,1680,10500,675000
6762814790,4,4,3680,18804,675000
6762815215,3,2.5,3240,108366,651000
6762815462,3,3,2270,5175,640000
6762815655,3,2.5,2680,327135,630000
6762815656,2,2.25,2550,5663,630000
6762815957,3,2.5,2030,6500,618080
6762816079,3,3,1680,1570,610950
6762816276,3,2.5,2460,108900,600000
6762816384,9,4.5,3830,6988,599999
6762816406,3,1.75,1960,4788,599000
6762816769,4,2,2510,13695,581000
6762816918,4,2,1650,5000,575000
6762817146,3,2,2350,5080,568000
6762817315,3,3,4120,60392,560000
6762817316,3,2,1860,13374,560000
6762817937,7,5.75,3700,7647,540000
6762818109,3,1.75,2720,149410,535000
6762818110,3,2.5,2280,2289,535000
6762818238,3,1,1340,4284,530000
6762818388,2,2,1550,2400,526000
6762818648,3,2.25,1170,1249,519950
6762818719,3,1.75,1580,9147,515000
6762818846,4,2.5,2430,5203,510000
6762819032,3,2.75,1540,6760,503000
6762819072,2,1,1010,3885,500000
6762819073,3,2.5,1940,37565,500000
6762819343,3,1,990,6000,495000
6762819344,4,2.75,2656,21195,495000
6762819436,4,2.5,3305,16164,492000
6762819622,3,2,1610,4160,485000
6762819760,4,2.5,2180,11200,480500
6762819924,2,1,820,2723,475000
6762820432,3,2,1760,9055,460000
6762821207,3,1.75,1500,6180,440000
6762821771,2,2,1350,3900,428000
6762821836,2,2.5,1150,1027,425000
6762822055,2,1.5,1040,3500,420000
6762822056,3,2.25,1770,8165,420000
6762822226,3,2.25,1606,1452,417250
6762822267,4,3,1830,9548,415000
6762822547,4,2.75,2140,13000,409500
6762822621,3,2.25,1660,8307,405000
6762823625,5,1.75,3000,6000,380000
6762823740,2,1,1640,17335,379500
6762823823,3,2.5,1830,13042,375000
6762824248,5,2.75,2410,5003,365000
6762824389,2,1,820,6400,361280
6762824800,5,2.5,2420,8560,352000
6762824831,3,1,1010,9360,350000
6762825419,3,2.25,1630,12295,339950
6762825420,2,1,820,681,339950
6762825551,3,2,1570,7200,335000
6762826573,3,1,1040,16986,314950
6762826582,3,1.75,1870,12381,314500
6762826607,3,1.75,2190,1716,313000
6762826675,3,1.75,1840,10723,310000
6762826676,3,1.75,2070,37904,310000
6762826883,3,2.5,1600,3573,305450
6762827058,2,1,760,3001,300000
6762827917,3,2.5,1600,4271,280000
6762828163,3,2.5,1600,7000,275000
6762828606,5,1.5,1500,7112,265000
6762829003,5,2.25,2060,8632,255000
6762829120,3,1.75,1250,10122,253000
6762829191,1,1,1100,4373,250000
6762829348,3,1,1110,8423,249000
6762829374,4,1.75,1720,10018,248500
6762829434,3,1,1400,7410,246000
6762829454,3,1.5,1260,1270,245000
6762829711,3,2,1410,7566,239900
6762829943,3,2.5,1920,9180,230000
6762830103,3,1.75,1640,10762,226500
6762830601,3,1.5,1380,11130,209950
6762831054,4,1,1490,6600,185000
6762831337,2,1,1040,13100,160000
6762831587,2,1,910,22000,100000
6762810338,6,3,3510,5760,1750000
6762810537,3,1.75,2430,12757,1500000
6762810781,5,3.25,2800,3200,1310000
6762810889,4,3.25,3820,24166,1250000
6762811336,4,3,2920,33976,1050000
6762811390,4,1,3410,5000,1040000
6762811575,3,2.75,2015,16807,988500
6762811596,5,2.5,3160,11470,980000
6762811867,3,3.25,2640,4080,930000
6762812323,3,2.5,2920,3942,868500
6762812615,4,2,1910,6960,835000
6762812665,5,3,3040,9601,830000
6762813158,3,2.75,3010,1842,785000
6762813211,4,1.75,2480,9195,780000
6762813572,4,2.5,2660,5500,753888
6762814111,3,2.5,1690,4500,719000
6762814139,4,2.5,3290,6465,716500
6762814207,3,1,1250,4620,712000
6762815046,3,1.75,1320,5750,660000
6762815378,4,1.75,2060,26036,647500
6762815557,2,1.75,1230,3600,636000
6762815988,2,1,1540,6872,615000
6762816464,3,2.5,1750,3354,595000
6762816607,2,3,3160,66646,589900
6762817133,4,2.25,2250,41688,569000
6762817390,2,2,1870,4950,559950
6762817519,2,2.5,1360,1349,553650
6762817818,3,2.25,1780,191228,545000
6762817894,6,2.25,2820,15600,543200
6762818056,4,1.75,1840,9600,538000
6762818068,4,2.5,2550,4630,537500
6762818111,4,2.5,2280,65836,535000
6762818203,3,1,1670,4080,533000
6762818239,3,1.75,1980,6760,530000
6762818240,4,2.75,2280,2850,530000
6762818544,3,2.25,2430,73151,524000
6762818720,2,1,1060,4960,515000
6762819074,3,1.75,1410,1197,500000
6762819264,2,1.5,1110,957,499000
6762819418,3,2.5,2310,6250,494000
6762819551,5,2.25,2440,20828,489990
6762820767,3,2,1510,43560,450000
6762821186,2,1.5,1020,1060,441750
6762821371,2,1,980,1179,438000
6762821403,3,1.75,1310,9282,437000
6762821994,3,1.75,1460,7700,424500
6762822396,3,2.5,1540,3200,413450
6762822622,2,1,1020,8155,405000
6762822722,3,2.75,2090,8354,403000
6762822747,3,2.5,1960,8000,402000
6762823457,3,1.75,1890,9920,385000
6762823824,6,2.25,3206,5793,375000
6762824560,2,1.5,960,1808,358000
6762824832,4,1.75,2250,13515,350000
6762825043,3,1.75,1590,9620,349000
6762825083,4,2.5,2460,7350,347500
6762825552,3,1.5,2240,87625,335000
6762825746,2,2,1550,435600,330000
6762825986,4,2.5,2320,6270,325900
6762826223,2,1.25,860,1277,321950
6762826837,3,1.75,1890,1716,307000
6762827311,3,2,1240,10800,297950
6762827349,2,1.75,2200,89298,295000
6762827350,3,2.5,1920,7229,295000
6762828376,4,2.5,1810,6509,270000
6762828590,3,2.5,1940,8547,266000
6762828756,4,2.5,2020,6236,262000
6762828791,4,1.5,2130,8800,260000
6762828930,4,1.75,1730,8320,258000
6762829435,3,1.75,1390,7399,246000
6762829455,3,1.5,1260,7964,245000
6762829790,2,1,1270,3008,235000
6762829944,3,1.75,950,6000,230000
6762829945,3,1,1390,16000,230000
6762830053,3,2.5,1190,3000,229000
6762830075,4,1.75,2000,6120,228000
6762830520,4,1,2100,9200,211000
6762830646,3,1,1490,8995,207000
6762830682,2,1,720,5040,205000
6762831507,2,1.5,980,5000,134000
6762831612,2,1,520,22334,82500
6762810135,3,2.25,3000,11665,2400000
6762810176,5,6.5,7270,130017,2240000
6762810365,5,4.5,5190,5432,1700000
6762810697,4,2.75,3720,9450,1370000
6762811086,4,4.25,5860,52889,1160000
6762811582,4,2.25,4230,37769,985000
6762811939,4,3,3750,11025,920000
6762812447,3,2.5,3560,107290,851000
6762812596,4,3.5,3810,13592,839900
6762812648,4,2.75,3780,10308,833000
6762812964,4,3.25,3540,159430,800000
6762813195,4,2.5,2830,20345,782000
6762813396,4,3.5,2730,3047,769900
6762813413,4,2.75,2790,10819,765000
6762813532,3,2.25,2950,78843,759000
6762813758,4,2.75,3100,3773,742500
6762814293,2,2.5,2200,188200,705000
6762816084,3,3,2480,45302,610000
6762816237,4,2.5,2260,7753,604000
6762816548,4,2.25,2430,32496,590000
6762816668,4,3.25,2400,29252,585000
6762816748,4,2.5,2660,4000,583000
6762816781,4,2.5,2840,6268,580000
6762817174,3,2.25,1660,10140,566000
6762817182,4,2.25,2470,7447,565000
6762817428,4,2.5,2840,4500,557000
6762817907,4,2.5,2330,14289,542500
6762818086,4,1.75,2000,4000,536500
6762818089,3,1.75,1300,5413,536000
6762818218,5,3,3480,57499,532000
6762818404,3,2.5,2030,6970,525000
6762818835,3,2,1400,7293,511555
6762818980,3,2.5,2100,5824,505000
6762819453,3,1.75,1750,11340,491300
6762819464,2,1,1840,3300,490000
6762819748,3,2,1410,4800,481450
6762820264,4,2.5,1930,9653,465000
6762820383,2,1,1150,4400,463000
6762820433,4,1.75,1750,5500,460000
6762821052,4,2,1650,6000,445000
6762821053,2,2,1150,6634,445000
6762821613,4,2.25,2170,10500,431000
6762821767,3,1,1620,30736,428750
6762822268,4,2.25,3060,48787,415000
6762822734,4,2.5,2600,11951,402500
6762823420,3,2.25,1445,1606,387000
6762823591,3,3.25,1410,1253,382000
6762823809,3,2,1340,1384,376000
6762824404,2,1,1420,81892,360000
6762824801,3,2.25,1640,11050,352000
6762825517,3,1.75,1780,120661,336900
6762825747,4,2.5,1940,3784,330000
6762825993,3,2.25,1352,1694,325000
6762825994,4,1.5,1470,70800,325000
6762826170,3,2.25,998,904,324000
6762826183,4,2.75,1970,7213,323000
6762826240,4,2.25,2310,7490,320000
6762826462,5,1.75,2320,8100,315000
6762826631,4,2.25,1930,7452,312000
6762826656,4,2.25,2130,8078,311100
6762826998,3,1.5,1060,10464,303500
6762827527,4,2.5,2000,13300,290000
6762827904,3,1.75,1390,8700,280950
6762827918,4,2,2190,14439,280000
6762828164,3,1.5,1390,48257,275000
6762828377,3,1.5,1500,6337,270000
6762828378,3,2,1690,9583,270000
6762828792,3,2,1920,8075,260000
6762828793,3,2.5,1420,14850,260000
6762829004,2,1,960,28717,255000
6762829005,2,1,810,7980,255000
6762829097,3,2.5,1850,4597,254000
6762829137,3,1,1030,6127,252500
6762829174,3,1.75,1220,7250,251000
6762829381,4,3,2163,5883,248000
6762829871,3,1,1360,9948,234950
6762830119,3,2.5,2000,9202,225000
6762830205,4,1,1430,8355,224500
6762830502,2,1.5,1020,1525,212000
6762830765,3,1,1160,8320,201500
6762830909,2,1,720,18000,195000
6762812241,4,2,2520,6000,875000
6762817744,5,2.75,3060,7015,549900
6762823173,3,2.5,1350,1250,394950
6762826241,3,2.5,2130,6969,320000
6762828607,4,1,1940,9533,265000
6762812556,4,2.5,2160,5298,842500
6762824180,3,2.5,1370,1350,368000
6762810472,5,2.75,3650,20150,1580000
6762810715,5,1.75,3380,20021,1350000
6762810768,4,3.5,3460,3997,1320000
6762810794,4,3.25,2330,9687,1300000
6762810875,4,3.75,3490,9170,1260000
6762810940,4,4.5,5420,101930,1230000
6762810941,4,2.25,3070,16028,1230000
6762810999,3,1.75,1560,8078,1200000
6762811266,3,2.5,3720,11610,1080000
6762811337,4,3.75,3280,11000,1050000
6762811412,4,3.25,3270,5187,1030000
6762811437,3,2.5,2920,34527,1020000
6762811743,5,3,4530,258746,950000
6762811798,4,2.25,3290,12329,947500
6762811799,3,2.75,2980,27144,947500
6762811886,4,2.75,3300,12090,927000
6762812000,3,2,2700,6120,910000
6762812055,4,3.25,4700,38412,900000
6762812184,4,2.5,2830,5000,885000
6762812239,3,3.25,2170,12508,876650
6762812293,4,2.5,2350,3150,870300
6762812452,4,1.75,2350,11914,850000
6762812564,4,2.75,2600,2750,840000
6762812899,5,4.5,4630,6324,809000
6762813146,4,3.25,3680,5759,788000
6762813362,3,1.75,1720,5000,770000
6762813589,4,2.5,3110,6142,751000
6762813602,4,2.5,2980,4930,750000
6762813724,3,2.5,2620,8950,746000
6762813877,4,2.5,2760,5000,734200
6762814541,4,2.5,2670,13463,690000
6762814791,4,3,2400,3340,675000
6762815047,4,2.5,2550,10000,660000
6762815381,4,2.5,3040,6887,647000
6762815563,3,2.5,1570,1433,635000
6762815657,4,2,1770,4166,630000
6762815881,3,1.5,1620,6630,620000
6762815989,2,1.75,2040,4480,615000
6762816085,4,3,2110,5000,610000
6762816763,4,1.75,2120,4650,582000
6762817317,3,2,2560,216777,560000
6762817938,4,2.25,2540,228254,540000
6762818572,4,2.25,1800,8623,522000
6762818981,4,1.75,1940,4800,505000
6762818982,4,2.5,2780,6369,505000
6762819075,2,2.25,1290,1334,500000
6762819228,3,1,980,6380,499950
6762819465,2,2.5,1230,1391,490000
6762820265,3,1.5,2020,11358,465000
6762820698,3,2.5,2010,2287,453246
6762820768,3,1.5,1770,17208,450000
6762822057,2,2.5,1480,1369,420000
6762822454,3,2.25,2200,16921,410000
6762823563,4,2.5,2160,6223,383000
6762824005,5,3,2480,10090,372500
6762824160,2,2.5,980,895,369000
6762824181,3,1,1280,9898,368000
6762824405,4,2,1730,5500,360000
6762824594,4,2.5,2380,7066,357000
6762824833,2,1,910,4500,350000
6762825297,3,1.5,1720,7119,341000
6762825447,3,1,1080,8100,339000
6762825553,3,2.5,1940,4927,335000
6762825748,5,3,2100,4548,330000
6762826459,3,1.75,1440,8040,315275
6762827026,5,2.25,2180,7813,302000
6762827044,2,1.5,830,1333,301500
6762827059,2,1.75,1360,8100,300000
6762828379,3,1,1830,8209,270000
6762828608,2,1,1290,2828,265000
6762829006,2,1,1220,2500,255000
6762829791,1,1,810,2451,235000
6762830120,3,1,990,8012,225000
6762830521,3,1.5,1350,7620,211000
6762830532,3,2.5,1040,2643,210000
6762830767,3,1,1460,9750,201000
6762830967,2,1,700,10540,192000
6762831055,3,1.5,1370,8470,185000
6762831383,3,1,970,8580,156000
6762831569,3,1,1250,53143,110000
6762810108,4,2.5,5300,26211,2560000
6762810128,5,4,4430,9000,2450000
6762810129,4,4.5,5030,11023,2450000
6762810260,5,2.25,3120,16672,1900000
6762810391,5,3.25,4860,23723,1680000
6762810503,5,3.25,3370,17458,1550000
6762810637,5,4.25,3530,7924,1400000
6762811191,4,1.5,2740,4000,1110000
6762811338,4,3.25,4400,8400,1050000
6762811620,4,2.5,3490,7494,975000
6762812294,4,2.5,3520,6773,870000
6762812371,4,2.5,3560,11119,860000
6762812797,5,2.75,3150,7119,819900
6762813033,6,3,2890,2370,799200
6762813212,3,1.75,2340,10495,780000
6762813274,3,3.25,3610,59677,777000
6762813357,3,2.25,1780,6120,771000
6762813543,3,3.25,3190,5283,757000
6762814133,3,1.5,1310,3880,717000
6762814341,3,2.5,2030,8398,700000
6762814792,4,2.5,3000,5548,675000
6762814793,5,3,3410,9600,675000
6762814967,3,2,1940,5820,665000
6762815048,4,3.5,3400,5196,660000
6762815216,4,2.5,2740,7140,651000
6762815229,4,2.5,2210,4861,650000
6762815391,3,2.5,1740,13750,645000
6762815564,4,1.75,1950,13320,635000
6762815717,4,2,2260,6000,628000
6762815751,3,3.5,1810,1846,625000
6762815882,3,1,1710,4050,620000
6762816544,3,1.75,1680,2400,591000
6762816545,4,2.25,2710,38180,591000
6762816770,4,1.75,2090,8164,581000
6762816782,5,2,2290,7125,580000
6762816919,3,1.75,1580,11750,575000
6762817054,3,2,1530,5401,570000
6762817318,3,1,1440,5000,560000
6762817572,4,2,2250,7500,550000
6762817573,7,4,3440,8100,550000
6762818241,2,2,1680,4950,530000
6762818242,3,1.75,1690,8190,530000
6762818405,5,3,2450,4591,525000
6762818406,3,3.5,2876,5086,525000
6762818407,3,2.5,1580,1161,525000
6762818556,3,1.5,1240,7735,523000
6762818983,4,2.5,2790,5602,505000
6762819047,4,2.5,2040,5616,502000
6762819761,5,4.75,3830,35000,480000
6762819925,4,2.5,3740,8700,475000
6762820266,3,1.5,1270,5112,465000
6762820365,5,2.5,3400,8970,464000
6762820434,3,2.25,2350,10450,460000
6762820606,4,2.5,3360,7685,455000
6762820769,3,2.75,1250,892,450000
6762820770,3,2.25,2450,42180,450000
6762820961,3,2,1770,6610,449500
6762821446,4,2.25,2140,6355,435000
6762822269,3,1.75,1960,5000,415000
6762822400,4,1,1410,6000,413000
6762822623,4,1.75,2180,13529,405000
6762823458,3,2,1480,6600,385000
6762823825,3,1,1190,9486,375000
6762823993,5,2.5,3001,5710,373000
6762824049,3,1.75,1650,8254,370000
6762824724,3,2.5,1490,1709,354901
6762824834,3,2.5,2010,14298,350000
6762825132,3,1.75,1090,7200,345000
6762825749,3,2.5,1450,5008,330000
6762826200,3,2,1350,14200,322500
6762826372,3,1,1390,12823,319000
6762827643,3,1,1090,7315,289000
6762827683,3,2.5,1950,8251,287600
6762827695,3,2.25,1490,9600,287000
6762827751,3,1,1090,8640,285000
6762828308,4,1.5,2180,22870,273000
6762828565,4,2.25,2510,8165,267345
6762829456,5,1.75,2020,7902,245000
6762829699,3,1,1900,33888,239950
6762829946,2,0.75,650,5360,230000
6762830121,3,1.5,1250,7500,225000
6762830122,4,1.5,1950,12559,225000
6762830123,3,1,1040,6535,225000
6762830124,3,1,1660,7210,225000
6762831389,2,1,910,6232,155000
6762831600,2,1,790,2640,90000
6762810277,4,2.75,3260,19542,1880000
6762810638,3,2.5,2550,7200,1400000
6762810964,4,3.5,4910,9444,1220000
6762811178,4,2.25,4470,60373,1120000
6762811315,4,2,2290,11137,1060000
6762811680,5,4.5,3810,8019,966000
6762811728,5,2.25,2510,9887,955000
6762811744,4,2.5,3320,7644,950000
6762811868,3,2.5,3100,20553,930000
6762811893,4,2.5,2190,7350,925000
6762812953,3,2.5,2580,13096,802000
6762812965,3,1,1700,4400,800000
6762813345,3,2.75,2470,3600,773000
6762813410,3,2.5,3030,30007,766950
6762813767,5,5,5774,31675,740000
6762813768,4,2.5,3430,10157,740000
6762814048,4,2.5,2700,4004,723000
6762814151,4,2.25,2060,5649,715000
6762814279,4,3.25,3200,7081,707000
6762814330,3,1.5,2360,6750,702500
6762814678,3,1.75,1830,5120,682000
6762815626,4,2.5,2470,33305,633100
6762815752,4,2.75,1680,11180,625000
6762815883,5,2.5,2540,3832,620000
6762816155,5,1.75,2220,6000,607500
6762816759,2,1.5,1159,4800,582500
6762817183,4,2.5,2240,14667,565000
6762817289,3,1.5,1830,8000,562000
6762817805,3,1.75,2000,5000,546000
6762817896,3,2.5,2090,7640,543000
6762817897,2,2,2370,217800,543000
6762817915,4,1.75,1900,8250,542000
6762818057,3,1.75,1400,3825,538000
6762818243,4,2.75,2450,15002,530000
6762818408,3,1.75,1600,6120,525000
6762818839,3,2.5,1820,4883,511000
6762818847,3,1.75,2170,54014,510000
6762819265,3,2,2090,42689,499000
6762819300,4,2.75,2270,7375,498000
6762819564,3,2.75,1850,9600,489200
6762819613,4,2.5,2150,39449,486000
6762820115,4,2.5,2310,14023,470000
6762820553,3,1,1660,7500,458000
6762820771,3,2.5,2910,17172,450000
6762821404,3,2.75,2580,5200,437000
6762822058,4,2.5,3040,24123,420000
